"Product Name","Product Description","ProductCode","Media Standard URL 1","Category","Product Family"
"Bella Chrome Coffee Machine","The ultimate in coffee making luxury. Create up to three gourmet coffees at the same time. Granular control of the froth and foaminess. Can create a coffee in under 60 minutes","B-C-COFMAC-001","https://img4demo.herokuapp.com/image/capricorn/BC-COFMAC/jpg","Machines/Coffee Machines","Commercial"
"Dark Roast Whole Bean Coffee","2.5 lbs of dark roasted, single-origin, fair trade and Organic Arabica bean from the Chiapas region of Mexico. It is nutty with notes of caramel and slight baker's chocolate. It is fresh roasted and rated Premium Grade ""1,"" the highest rating available for coffee.","DRW-1","https://img4demo.herokuapp.com/image/capricorn/DRW-1/jpg","Beans/Dark","Personal"
"Splendid Sumatran Dark Roast Bean Bag","This popular blend captures the essence of Sumatra, a coffee farmers paradise. This is slowly roasted to retain the majority of the tropical flavors.","SS-DR-BB","https://img4demo.herokuapp.com/image/capricorn/SS-DR-BB/png","Beans/Dark","Commercial"
"Masso Espresso Machine","Masso Espresso Machine is a model designed to take the market by storm with a strong personality, absolute reliability, sleek lines and with the most innovative features in its class.","ESP-001","https://img4demo.herokuapp.com/image/capricorn/ESP-001-1/jpg","Machines/Espresso Machines","Personal"
"TaskMaster Coffee Machine","TaskMater espresso machine is the perfect addition to your restaurant, coffee shop, or cafe!","TM-COFMAC-001","https://img4demo.herokuapp.com/image/capricorn/TM-COFMAC-001/jpg","Machines/Espresso Machines/Advanced Espresso Machines","Commercial"
"EspresSmart Espresso Machine","The future of espressos is now. The fully connected, intelligent EspresSmart Espresso Machine not only provides the most consistent pours of any of our machines, but it tell you when it needs filter replacements, repairs and cleaning.","ESP-IOT-1","https://img4demo.herokuapp.com/image/capricorn/ESP-IOT-1/jpg","Machines/Espresso Machines/Advanced Espresso Machines","Industrial"
"Capricorn I Group Espresso Machine","The Capricorn I group espresso machine is the perfect addition to your restaurant, coffee shop, or cafe! Not only does this machine give you the opportunity to add one-of-a kind hot beverages to your menu, but its stainless steel dual boiler system and automatic functionality ensure fast, efficient service for your customers. A user-friendly option for any high-volume establishment, this espresso machine is sure to take your customer's morning fix to the next level.","ID-PEM","https://img4demo.herokuapp.com/image/capricorn/ID-PEM1/jpg","Machines/Coffee Machines","Personal"
"Testa Rossa Coffee Machine","The Testa Rossa Milk Espresso & Coffee machine: Deliciousness delivered with ease, cup after cup. With our innovative illy iperEspresso capsule system, creating an excellent cup of espresso or classic coffee is perfectly simple. Our specially designed capsules deliver extraordinary taste with professional artistry - all in a single touch, from a single machine. With a hot water dispenser for soothing tea, and new integrated milk frother for beautiful lattes and smooth cappuccinos, every cup becomes an at-home indulgence.\n\nEnjoy all six beverage options with the convenience of one machine:\n\nEspresso\nCoffee\nCappuccino\nLatte macchiato\nSteamed milk\nHot water for teas and herbal infusions","TR-COFMAC-001","https://img4demo.herokuapp.com/image/capricorn/TR-COFMAC/jpg","Machines/Espresso Machines","Industrial"
"Light Roast Whole Bean Coffee","A blend of 100 percent premium Arabica beans from Central America, Kenya and Tanzania that results in a superb, rich aroma and well-balanced taste. Coffee is light, sweet and balanced coffee. Whole beans are perfect for drip or filter method. Comes in 2.5 lb bag.","LRW-1","https://img4demo.herokuapp.com/image/capricorn/LRW-1/jpg","Beans/Light","Personal"
"Medium Roast Coffee","Grown in Colombia's rich volcanic soil, this coffee is as distinctive as the countryside. Our medium roast coffee delivers a signature nutty flavor. We use 100% natural roasted arabica beans to create a smooth and balanced, yet crisp, cup of coffee.","MRC-1","https://img4demo.herokuapp.com/image/capricorn/mrc-1/jpg","Beans/Medium","Personal"
