"Product Name","Product Description","ProductCode","Media Standard URL 1","Category"
"Youth Sprout Backpack","Designed for kids age two to four, this toddler-sized, 10-liter daypack allows young explorers to carry their own juice box, snacks and souvenirs from the trail.","4060067","https://img4demo.herokuapp.com/image/ntogear/4060067AIU-0/jpg","Gear/Backpacks/Kids Backpacks"
"Women’s Isabella Backpack","Carry your daily essentials in this streamlined 21-liter capacity women's backpack that features an easy access, zippered front panel and a fleece-lined tablet sleeve in the main compartment.","4060113","https://img4demo.herokuapp.com/image/ntogear/4060113AJA-0/jpg","Gear/Backpacks/Urban Commuter Backpacks"
"Women’s Electra Backpack","A low-profile way to carry your daily essentials, this durable 12-liter capacity women-specific backpack features a fleece-lined stash pocket for your tablet.","4060114","https://img4demo.herokuapp.com/image/ntogear/4060114AFR-0/jpg","Gear/Backpacks/Urban Commuter Backpacks"
"Homestead Roadtripper Pack","A great carry-on or carry-all, this tough, 30-liter backpack features a streamlined shape, two stuff pockets and metal 9 hooks that do double duty as bottle openers, so you’re never stranded without something to drink.","4060165","https://img4demo.herokuapp.com/image/ntogear/4060165BKL-0/jpg","Gear/Backpacks/Mens Backpacks"
"Homestead Roadsoda Pack","A camp necessity, this waterproof, 43-liter backpack with an origami construction and a roll-top closure transforms into a rugged cooler when you add ice and a six pack. A 9-hook closure even doubles as a bottle opener.","4060167","https://img4demo.herokuapp.com/image/ntogear/4060167AI8-0/jpg","Gear/Backpacks/Mens Backpacks"
"Berkeley Backpack","Whether you’re packing up your climbing shoes or carry-on essentials, this iconic TNF™ backpack with dual organizational compartments and 25 liters of space has got you covered.","4060194","https://img4demo.herokuapp.com/image/ntogear/4060194AJ7-0/jpg","Gear/Backpacks/Kids Backpacks"
"Mini Berkeley Backpack","A vintage The North Face&#0174; backpack reimagined in a 19-liter size for kids, and even adults.","4060195","https://img4demo.herokuapp.com/image/ntogear/4060195A46-0/jpg","Gear/Backpacks/Kids Backpacks"
"Itinerant Backpack","Whether you're traveling on two wheels or two feet, this 30-liter capacity pack is perfect for any foul-weather commute with a convenient roll top, a padded 15"" laptop sleeve and a reflective water-resistant exterior.","4060206","https://img4demo.herokuapp.com/image/ntogear/4060206AC8-0/jpg","Gear/Backpacks/Urban Commuter Backpacks"
"Kabig Backpack","We supersized our classic commute pack to create this 41-liter capacity that will hold everything you need to carry (including your 15"" laptop) throughout the day and keep it all neatly organized.","4060207","https://img4demo.herokuapp.com/image/ntogear/4060207A2A-0/jpg","Gear/Backpacks/Urban Commuter Backpacks"
"Kaban Backpack","Haul 26-liter loads with this sleek pack that's designed with a protective 15"" laptop sleeve and reflectivity for maximum visibility during low light commutes. This minimal design stands up on its own for easy access to gear and is crafted of the same indestructible water-resistant material that's used in our hyper-durable basecamp duffels.","4060208","https://img4demo.herokuapp.com/image/ntogear/4060208AUD-0/jpg","Gear/Backpacks/Urban Commuter Backpacks"
"Kabyte Backpack","The bite-sized version of our classic Kaban, this compact 20-liter capacity pack holds your essentials when you''re traveling fast and light during city commutes.","4060209","https://img4demo.herokuapp.com/image/ntogear/4060209BED-0/jpg","Gear/Backpacks/Urban Commuter Backpacks"
"Rovara Backpack","Designed for foul-weather commutes, this compact 27-liter capacity pack features a convenient roll top, padded 15"" laptop sleeve and a durable water-resistant exterior.","4060222","https://img4demo.herokuapp.com/image/ntogear/4060222AIL-0/jpg","Gear/Backpacks/Urban Commuter Backpacks"
"Women's Access 22l Backpack","Stay nimble during your daily commute with this ultra-durable, 22-liter capacity pack that features a women-specific  back panel, a main compartment that's accessed at the touch of a button, a pull-strap that ejects your laptop and fleece-lined device pockets for efficient organization. Crafted of bulletproof 500D stretch polyester and 840D ballistics nylon for unmatched durability.","4060223","https://img4demo.herokuapp.com/image/ntogear/4060223AC8-0/jpg","Gear/Backpacks/Urban Commuter Backpacks"
"Women's Kaban Backpack","Haul 26-liter loads with this sleek women-specfic pack that's designed with a protective 15"" laptop sleeve and reflectivity for maximum visibility during low light commutes. This minimal design stands up on its own for easy access to gear and is crafted of the same indestructible water-resistant material that's used in our hyper-durable basecamp duffels.","4060224","https://img4demo.herokuapp.com/image/ntogear/4060224ASS-0/jpg","Gear/Backpacks/Urban Commuter Backpacks"
"Women's Kabyte Backpack","The bite-sized version of our classic Kaban, this women-specific 20-liter capacity pack holds your essentials when you''re traveling fast and light during city commutes.","4060225","https://img4demo.herokuapp.com/image/ntogear/4060225BIU-0/jpg","Gear/Backpacks/Urban Commuter Backpacks"
"City Slicker Backpack","Durable and ready for whatever the city throws at you, this sleek 26-liter capacity pack features a laptop sleeve in the main compartment and a front pocket for additional storage.","4060318","https://img4demo.herokuapp.com/image/ntogear/4060318AI6-0/jpg","Gear/Backpacks/Urban Commuter Backpacks"
"Mini Crevasse Backpack","Combining a vintage-inspired design with ultra-durable materials, this classic 14.5-liter pack is ready for modern-day commutes.","4060386","https://img4demo.herokuapp.com/image/ntogear/4060386A0G-0/jpg","Gear/Backpacks/Kids Backpacks"
"Borealis Classic Backpack","Stash your gear quickly and hit the road in our 29-liter Borealis Classic backpack that's constructed with a padded back and hip belt for all-day comfort. The main compartment features a fleece-lined 15"" laptop sleeve to protect and organize your electronics, as well as a phone pouch and key chain to keep the things you misplace most in check. Finished with easy-access stretch-mesh side pockets and an external bungee cord that allows you lash on additional gear.","4060492","https://img4demo.herokuapp.com/image/ntogear/4060492ACD-0/jpg","Gear/Backpacks/Classic Backpacks"
"Surge Backpack","Our ideal, 31-liter pack for professionals has gotten feature-rich updates and a new tech-inspired design to organize your electronics and simplify your life on-the-go. Features a dedicated mobile-office compartment for your laptop, tablet and documents, multiple fleece-lined pockets for your sunglasses and phone, and a padded top handle and laptop sleeve. A highly breathable lumbar panel pairs with injection-molded shoulder straps for all-day comfort.","4060503","https://img4demo.herokuapp.com/image/ntogear/4060503AC8-0/jpg","Gear/Backpacks/Classic Backpacks"
"City Slicker Se Backpack","Durable and ready for whatever the city throws at you, this sleek and modern, 26-liter capacity, special edition (SE) pack features a laptop sleeve in the main compartment and a front pocket for additional storage.","4060507","https://img4demo.herokuapp.com/image/ntogear/4060507A2F-0/jpg","Gear/Backpacks/Urban Commuter Backpacks"
"Mini Mini Berkeley Backpack","Perfect for festivals and kids of all sizes, this vintage-looking, 9-liter pack featuring an integrated bike-light loop, roomy main compartment and secondary compartment for your small essentials is a staple whether you’re 3, 13 or 30.","4060508","https://img4demo.herokuapp.com/image/ntogear/4060508A83-0/jpg","Gear/Backpacks/Kids Backpacks"
"Youth Recon Squash Backpack","Half the size of our popular adult Recon backpack and built to mirror its aesthetics, this 17-liter youth daypack can fit a standard 9.5"" x 12"" folder and features side mesh water bottle pockets that double as treasure-keepers, and a sternum strap for convenient, comfortable carry.","4060509","https://img4demo.herokuapp.com/image/ntogear/4060509AAZ-0/jpg","Gear/Backpacks/Kids Backpacks"
"Women's Surge Backpack","Our ideal, 31-liter pack for female professionals has gotten feature-rich updates and a new tech-inspired design to organize your electronics and simplify your life on-the-go. Features a dedicated mobile-office compartment for your laptop, tablet and documents, multiple fleece-lined pockets for your sunglasses and phone, and a padded top handle and laptop sleeve. A highly breathable lumbar panel pairs with injection-molded shoulder straps for all-day comfort.","4060518","https://img4demo.herokuapp.com/image/ntogear/4060518BHM-0/jpg","Gear/Backpacks/Classic Backpacks"
