"Product Name","Product Description","ProductCode","Category","Media Standard URL 1","Price (sales) USD","Price (original) USD"
"1/2 in. Drill Driver","This 20-Volt MAX Compact Brushless Drill/Driver kit includes two 20-Volt MAX Lithium Ion Batteries, a charger, and a carrying bag.","PC001","Departments/Tools/Power Tools","https://img4demo.herokuapp.com/image/hd/ptdddriver/jpeg","99","159"
"1/2 in. Compact Drill","Cordless Compact Drill/Driver offers 350 in./lbs. of torque","PC002","","https://img4demo.herokuapp.com/image/hd/ptrcdrill/jpeg","110","129"
"1/2 in. Compact Drill","More compact at 6.5 in. length, lightweight at 3.4 lb. w/battery","PC003","","https://img4demo.herokuapp.com/image/hd/pdmcdrill/jpeg","89","110"
"1/2 in. Brushless Driver","Mechanical 2-speed transmission for a wide of range applications","PC004","","https://img4demo.herokuapp.com/image/hd/ptbbdriver/jpeg","124","131"
"M18 FUEL","M18 FUEL ONE-KEY 18-Volt Lithium-Ion Brushless Cordless 8-1/4 in. Table Saw Kit","PC005","","https://img4demo.herokuapp.com/image/hd/ptmtsaw/jpeg","449","599"
"Orbital Jig Saw","Provides superior cutting performance for a variety of materials","PC006","","https://img4demo.herokuapp.com/image/hd/ptrjigsaw/jpeg","99.99","113.12"
"Circular Saw","6-1/2 in. MAX Lithium-Ion Cordless Circular Saw","PC007","","https://img4demo.herokuapp.com/image/hd/ptdcsaw/jpeg","138.99","156.12"
"Reciprocating Saw","20-Volt MAX Lithium-Ion Cordless Reciprocating Saw","PC008","","https://img4demo.herokuapp.com/image/hd/htbdsaw/jpeg","146.99","175.12"
"5 in. Grinder","20-Volt MAX Lithium-Ion Cordless 4-1/2 in. to 5 in. Grinder","PC009","","https://img4demo.herokuapp.com/image/hd/ptdgrinder/jpeg","63.99","79.95"
"4-1/2 in. Cut-Off/Grinder","M18 18-Volt Lithium-Ion Cordless 4-1/2 in. Cut-Off/Grinder","PC010","","https://img4demo.herokuapp.com/image/hd/ptmgrinder/jpeg","79.99","89.95"
"4-1/2 in. Angle Grinder","18-Volt ONE+ Cordless Brushless 4-1/2 in. Cut-Off Tool/Angle Grinder","PC011","","https://img4demo.herokuapp.com/image/hd/ptrgrinder/jpeg","74.99","89.95"
"5 in. Random Orbital Sander","20-Volt MAX XR Lithium-Ion Cordless Brushless 5 in. Random Orbital Sander","PC012","","https://img4demo.herokuapp.com/image/hd/ptdsander/jpeg","44.99","65.95"
"15 in. Tooth Saw","Designed with 3-sided teeth to cut faster","HT001","Departments/Tools/Hand Tools","https://img4demo.herokuapp.com/image/hd/htdtsaw/jpeg","19.99","24.95"
"14 in. Hack Saw","Reinforced Metal Frame for Added Durability","HT002","","https://img4demo.herokuapp.com/image/hd/htmhsaw/jpeg","16.99","21.95"
"6 in. Jab Saw","Piercing tip for faster plunge cuts","HT003","","https://img4demo.herokuapp.com/image/hd/htmjabsaw/jpeg","12.99","14.95"
"Vanity Cabinet in Tobacco","Naples 36 in. W Bath Vanity Cabinet Only in Tobacco with Right Hand Drawers","BF002","Departments/Bath & Faucets","https://img4demo.herokuapp.com/image/hd/hcvanity/jpeg","454.3","524.95"
"Reclaimed Oak","Vanity in Reclaimed Oak and Engineered Stone Vanity Top in Creamed Coffee with White Sink","BF001","","https://img4demo.herokuapp.com/image/hd/hcro/jpeg","454.3","524.95"
"Westcourt","Westcourt 30 in. W x 21 in. D Bathroom Vanity Cabinet Only in Sterling Gray","BF003","","https://img4demo.herokuapp.com/image/hd/hcwc/jpeg","354.3","424.95"
